capacity_id,slot_id,role_name,required_count,hours_per_person,man_month_factor,created_at,updated_at,note
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:45.706Z","2026-06-09T08:41:45.716Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:44.917Z","2026-06-09T08:41:44.924Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:44.156Z","2026-06-09T08:41:44.163Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:43.394Z","2026-06-09T08:41:43.402Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:42.639Z","2026-06-09T08:41:42.646Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:41.876Z","2026-06-09T08:41:41.883Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:41.126Z","2026-06-09T08:41:41.134Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:40.264Z","2026-06-09T08:41:40.272Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:13.957Z","2026-06-09T08:41:13.969Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:13.064Z","2026-06-09T08:41:13.077Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:12.161Z","2026-06-09T08:41:12.171Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:11.274Z","2026-06-09T08:41:11.288Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:10.304Z","2026-06-09T08:41:10.316Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:09.312Z","2026-06-09T08:41:09.323Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:08.428Z","2026-06-09T08:41:08.439Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:07.540Z","2026-06-09T08:41:07.552Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:06.687Z","2026-06-09T08:41:06.698Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:04.983Z","2026-06-09T08:41:04.994Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:04.071Z","2026-06-09T08:41:04.084Z",""
"cap_2026_07_11_qc_po","slot_2026_07_11","QC/PO","1","8","1","2026-06-09T08:41:03.175Z","2026-06-09T08:41:03.185Z",""
"cap_2026_06_06_qc_po","slot_2026_06_06","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_07_qc_po","slot_2026_06_07","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_13_qc_po","slot_2026_06_13","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_14_qc_po","slot_2026_06_14","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_20_qc_po","slot_2026_06_20","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_21_qc_po","slot_2026_06_21","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_27_qc_po","slot_2026_06_27","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_06_28_qc_po","slot_2026_06_28","QC/PO","1","8","1","2026-06-09T10:26:37.838Z","2026-06-09T10:26:37.838Z",""
"cap_2026_05_02_qc_po","slot_2026_05_02","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_03_qc_po","slot_2026_05_03","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_09_qc_po","slot_2026_05_09","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_10_qc_po","slot_2026_05_10","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_16_qc_po","slot_2026_05_16","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_17_qc_po","slot_2026_05_17","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_23_qc_po","slot_2026_05_23","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_24_qc_po","slot_2026_05_24","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_30_qc_po","slot_2026_05_30","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_05_31_qc_po","slot_2026_05_31","QC/PO","1","8","1","2026-06-11T08:38:36.571Z","2026-06-11T08:38:36.571Z",""
"cap_2026_07_04_qc_po","slot_2026_07_04","QC/PO","1","8","1","2026-06-11T08:38:49.340Z","2026-06-11T08:38:49.340Z",""
"cap_2026_07_05_qc_po","slot_2026_07_05","QC/PO","1","8","1","2026-06-11T08:38:49.340Z","2026-06-11T08:38:49.340Z",""
"cap_2026_07_12_qc_po","slot_2026_07_12","QC/PO","1","8","1","2026-06-11T08:38:49.340Z","2026-06-11T08:38:49.340Z",""
